Date,Close,High,Low,Open,Volume,Return,Vol_5,MA_5
2008-07-16,834.0,839.0,796.5,809.5,42152,,,816.1
2008-07-17,809.5,842.0,807.0,833.0,44059,,,816.7
2008-07-18,804.0,822.0,798.25,808.25,37060,,,813.7
2008-07-21,791.0,803.0,786.25,797.75,30732,,,809.9
2008-07-22,796.75,802.5,787.0,792.25,33848,,,807.05
2008-07-23,783.25,801.0,775.0,796.75,36081,,,796.9
2008-07-24,787.75,795.0,777.5,781.0,27383,,,792.55
2008-07-25,811.0,822.75,781.75,790.0,33800,,,793.95
2008-07-28,797.75,832.0,795.0,814.25,34235,,,795.3
2008-07-29,792.0,801.25,777.75,798.5,33142,,,794.35
2008-07-30,787.75,799.0,782.25,794.5,26321,,,795.25
2008-07-31,783.75,798.5,782.0,788.5,34638,,,794.45
2008-08-01,794.0,810.25,782.0,784.5,50820,,,791.05
2008-08-04,758.75,798.25,752.0,794.0,52230,,,783.25
2008-08-05,780.0,806.75,746.0,758.0,72316,,,780.85
2008-08-06,765.75,790.0,751.0,780.0,47456,,,776.45
2008-08-07,822.25,825.75,764.75,765.5,69560,,,784.15
2008-08-08,765.25,823.5,762.5,823.0,64065,,,778.4
2008-08-11,793.75,813.5,761.75,763.0,66081,,,785.4
2008-08-12,790.25,799.5,776.25,795.5,50628,,,787.45
2008-08-13,850.25,850.25,790.0,790.0,57707,,,804.35
2008-08-14,864.5,888.0,834.75,851.0,74921,,,812.8
2008-08-15,824.25,863.75,815.5,862.5,42925,,,824.6
2008-08-18,859.75,874.75,823.0,823.0,30324,,,837.8
2008-08-19,845.25,873.25,841.0,858.5,24065,,,848.8
2008-08-20,874.75,877.75,842.5,843.0,18444,,,853.7
2008-08-21,897.25,932.25,870.0,873.75,21925,,,860.25
2008-08-22,865.5,894.75,863.0,893.0,13437,,,868.5
2008-08-25,840.25,885.0,839.25,875.0,16849,,,864.6
2008-08-26,830.5,844.75,810.5,840.0,22769,,,861.65
2008-08-27,802.75,839.5,797.25,831.25,22642,,,847.25
2008-08-28,789.0,807.75,779.25,804.25,25403,,,825.6
2008-08-29,779.25,791.5,778.0,789.0,19876,,,808.35
2008-09-02,744.25,770.0,734.25,770.0,8856,,,789.15
2008-09-03,752.25,757.25,739.75,744.0,6634,,,773.5
2008-09-04,755.25,763.75,751.25,758.75,4725,,,764.0
2008-09-05,729.75,744.5,721.75,744.5,2976,,,752.15
2008-09-08,722.75,740.75,721.0,738.0,2122,,,740.85
2008-09-09,711.5,721.0,700.0,720.75,1514,,,734.3
2008-09-10,706.75,711.0,698.0,701.0,439,,,725.2
2008-09-11,707.25,714.75,699.5,699.5,444,,,715.6
2008-09-12,703.75,724.75,699.0,715.75,52550,,,710.4
2008-09-15,727.0,739.5,702.0,728.0,46012,,,711.25
2008-09-16,690.0,732.0,686.25,725.0,58147,,,706.95
2008-09-17,725.75,728.75,687.75,693.25,59169,,,710.75
2008-09-18,692.75,736.25,688.75,728.0,51317,,,707.85
2008-09-19,718.0,722.5,690.75,699.0,36389,,,710.7
2008-09-22,737.75,757.75,715.0,721.75,44321,,,712.85
2008-09-23,750.5,753.75,725.75,738.0,35875,,,724.95
2008-09-24,730.25,760.0,723.25,750.25,36277,,,725.85
2008-09-25,736.25,741.0,720.0,731.0,29255,,,734.55
2008-09-26,716.0,735.5,714.75,731.0,25563,,,734.15
2008-09-29,668.0,715.75,666.25,711.0,36417,,,720.2
2008-09-30,680.0,689.5,662.5,668.0,45368,,,706.1
